id;user_id;department_id;position_id;created_at;update_at
60;59;5;11;2020-05-12 18:54:52;2020-05-12 18:54:52
61;60;5;11;2020-05-12 18:55:28;2020-05-12 18:55:28
62;61;5;11;2020-05-12 18:55:33;2020-05-12 18:55:33
63;62;5;11;2020-05-12 18:55:42;2020-05-12 18:55:42
64;63;10;19;2020-05-12 18:55:50;2020-05-12 18:55:50
65;64;10;19;2020-05-12 18:55:57;2020-05-12 18:55:57
66;65;10;19;2020-05-12 18:56:24;2020-05-12 18:56:24
67;66;10;19;2020-05-12 18:56:34;2020-05-12 18:56:34
68;67;10;19;2020-05-12 18:56:48;2020-05-12 18:56:48
69;68;5;11;2020-05-12 18:56:48;2020-05-12 18:56:48
70;69;5;11;2020-05-12 18:57:05;2020-05-12 18:57:05
71;70;5;11;2020-05-12 18:57:05;2020-05-12 18:57:05
72;71;5;11;2014-02-22 20:10:58;2014-02-22 20:10:58
73;72;5;11;2014-02-22 22:14:34;2014-02-22 22:14:34
74;73;5;11;2014-02-23 13:44:49;2014-02-23 13:44:49
75;74;11;18;2014-02-24 11:42:51;2014-02-24 11:42:51
76;75;11;18;2014-02-24 12:04:19;2014-02-24 12:04:19
77;76;11;18;2014-02-24 12:54:11;2014-02-24 12:54:11
78;77;11;18;2014-02-24 15:39:37;2014-02-24 15:39:37
79;78;11;18;2014-02-24 15:45:16;2014-02-24 15:45:16
80;79;11;18;2014-02-24 17:17:31;2014-02-24 17:17:31
81;80;11;18;2014-02-24 17:59:16;2014-02-24 17:59:16
82;81;11;18;2014-02-24 18:45:48;2014-02-24 18:45:48
83;82;11;18;2014-02-25 09:25:05;2014-02-25 09:25:05
84;83;11;18;2014-02-25 09:57:07;2014-02-25 09:57:07
85;84;11;18;2014-02-25 10:07:47;2014-02-25 10:07:47
86;85;11;18;2014-02-25 10:20:07;2014-02-25 10:20:07
87;86;5;11;2014-02-25 10:26:59;2014-02-25 10:26:59
88;87;5;11;2014-02-25 10:48:21;2014-02-25 10:48:21
89;88;5;11;2014-02-25 11:04:02;2014-02-25 11:04:02
90;89;5;11;2014-02-25 11:29:36;2014-02-25 11:29:36
91;90;5;11;2014-02-25 11:54:11;2014-02-25 11:54:11
92;91;5;11;2014-02-25 12:06:18;2014-02-25 12:06:18
93;92;5;11;2014-02-25 12:12:20;2014-02-25 12:12:20
94;93;5;11;2014-02-25 12:16:32;2014-02-25 12:16:32
95;94;5;11;2014-02-25 12:30:35;2014-02-25 12:30:35
96;95;5;11;2014-02-25 12:39:31;2014-02-25 12:39:31
97;96;5;11;2014-02-25 12:41:53;2014-02-25 12:41:53
98;97;5;11;2014-02-25 12:53:56;2014-02-25 12:53:56
99;98;5;11;2014-02-25 13:12:40;2014-02-25 13:12:40
100;99;5;11;2014-02-25 13:29:54;2014-02-25 13:29:54
101;100;5;11;2014-02-25 13:37:06;2014-02-25 13:37:06
102;502;5;11;2014-02-25 13:37:06;2014-02-25 13:37:06
